series,model,run_id,seed,fold,accuracy,precision,recall,f1,roc_auc,n_test
original,NeuralNet,s47_f4,47,4,0.9053991693585602,0.90199203187251,0.9324546952224053,0.9169704333738355,0.9454220695592346,2167
original,NeuralNet,s48_f0,48,0,0.8865313653136532,0.8904109589041096,0.9094650205761317,0.8998371335504886,0.929392129683607,2168
original,NeuralNet,s48_f1,48,1,0.8874019381633594,0.9022369511184756,0.8962962962962963,0.8992568125516103,0.935528408894422,2167
original,NeuralNet,s48_f2,48,2,0.9053991693585602,0.9033546325878594,0.9308641975308642,0.9169031211998379,0.9431502230521839,2167
original,NeuralNet,s48_f3,48,3,0.9030918320258422,0.9049153908138597,0.9242798353909465,0.9144951140065146,0.9425748694539543,2167
original,NeuralNet,s48_f4,48,4,0.9072450392247347,0.8923315259488769,0.9489291598023064,0.9197604790419162,0.945735395551376,2167
original,RandomForest,s42_f0,42,0,0.9308118081180812,0.9270248596631917,0.951440329218107,0.9390739236393176,0.959589168275189,2168
original,RandomForest,s42_f1,42,1,0.9206275957544993,0.9162011173184358,0.9448559670781893,0.9303079416531604,0.9424914410208527,2167
original,RandomForest,s42_f2,42,2,0.9321642824180896,0.9362745098039216,0.9432098765432099,0.939729397293973,0.9610648580419823,2167
original,RandomForest,s42_f3,42,3,0.9215505306875865,0.9047250193648335,0.9613168724279836,0.9321628092577813,0.9580372272365736,2167
original,RandomForest,s42_f4,42,4,0.9358560221504384,0.9324215607401448,0.9546952224052718,0.9434269434269434,0.9555634595338403,2167
original,RandomForest,s43_f0,43,0,0.9317343173431735,0.9230769230769231,0.9580246913580247,0.9402261712439418,0.9535147832920946,2168
original,RandomForest,s43_f1,43,1,0.9298569450853715,0.9248601119104716,0.9522633744855967,0.9383617193836172,0.9602824463118581,2167
original,RandomForest,s43_f2,43,2,0.9224734656206738,0.9086651053864169,0.9580246913580247,0.9326923076923077,0.949358076563959,2167
original,RandomForest,s43_f3,43,3,0.9321642824180896,0.9306451612903226,0.9497942386831276,0.9401221995926681,0.9539768994017359,2167
original,RandomForest,s43_f4,43,4,0.9284725426857406,0.9322448979591836,0.9406919275123559,0.9364493644936449,0.9520909431933493,2167
original,RandomForest,s44_f0,44,0,0.9271217712177122,0.9307253463732681,0.939917695473251,0.9352989352989353,0.9526390562183962,2168
original,RandomForest,s44_f1,44,1,0.9289340101522843,0.9227091633466136,0.9530864197530864,0.9376518218623482,0.9566591451395373,2167
original,RandomForest,s44_f2,44,2,0.9266266728195662,0.9177215189873418,0.9547325102880658,0.9358612343686971,0.9542034097589652,2167
original,RandomForest,s44_f3,44,3,0.9335486848177204,0.9273743016759777,0.9563786008230453,0.9416531604538088,0.9582451499118164,2167
original,RandomForest,s44_f4,44,4,0.925703737886479,0.9201915403032721,0.9497528830313015,0.9347385488447507,0.9539747887102379,2167
original,RandomForest,s45_f0,45,0,0.9188191881918819,0.9139442231075697,0.9440329218106996,0.928744939271255,0.9468259211759269,2168
original,RandomForest,s45_f1,45,1,0.9349330872173511,0.9302884615384616,0.9555555555555556,0.9427527405602923,0.9586069613030397,2167
original,RandomForest,s45_f2,45,2,0.9266266728195662,0.9237560192616372,0.9473251028806584,0.9353921170255993,0.955221841823149,2167
original,RandomForest,s45_f3,45,3,0.9326257498846331,0.9225296442687747,0.9604938271604938,0.9411290322580645,0.9570287374208942,2167
original,RandomForest,s45_f4,45,4,0.9270881402861099,0.9237560192616372,0.9481054365733114,0.9357723577235773,0.9526605482383732,2167
original,RandomForest,s46_f0,46,0,0.9206642066420664,0.9135606661379857,0.9481481481481482,0.9305331179321487,0.9472728528925334,2168
original,RandomForest,s46_f1,46,1,0.9284725426857406,0.9226475279106858,0.9522633744855967,0.9372215471850952,0.9546482173116159,2167
original,RandomForest,s46_f2,46,2,0.9344716197508076,0.935117599351176,0.9489711934156378,0.9419934640522876,0.9596807241415085,2167
original,RandomForest,s46_f3,46,3,0.9353945546838948,0.9317269076305221,0.9547325102880658,0.943089430894309,0.9622125393367222,2167
original,RandomForest,s46_f4,46,4,0.9206275957544993,0.9128367670364501,0.9489291598023064,0.9305331179321487,0.9471429855602095,2167
original,RandomForest,s47_f0,47,0,0.9294280442804428,0.9248,0.951440329218107,0.9379310344827586,0.9575829414584223,2168
original,RandomForest,s47_f1,47,1,0.9243193354868482,0.9167327517842981,0.951440329218107,0.9337641357027464,0.9539941902687002,2167
original,RandomForest,s47_f2,47,2,0.9252422704199353,0.9195219123505977,0.9497942386831276,0.934412955465587,0.9529723000311235,2167
original,RandomForest,s47_f3,47,3,0.930318412551915,0.928341384863124,0.9489711934156378,0.9385429385429386,0.9570097174672338,2167
original,RandomForest,s47_f4,47,4,0.9330872173511767,0.9286287089013633,0.9538714991762768,0.9410808614384396,0.9550461475164701,2167
original,RandomForest,s48_f0,48,0,0.9206642066420664,0.9209039548022598,0.9390946502057613,0.9299103504482478,0.947895102751113,2168
original,RandomForest,s48_f1,48,1,0.9261652053530226,0.9209896249002394,0.9497942386831276,0.9351701782820098,0.9547255939412802,2167
original,RandomForest,s48_f2,48,2,0.9330872173511767,0.928,0.9547325102880658,0.9411764705882353,0.9564572742677317,2167
original,RandomForest,s48_f3,48,3,0.9298569450853715,0.9282836422240129,0.9481481481481482,0.9381107491856677,0.9550649272054501,2167
